train,val,test
normal_147,normal_002,test_001
tumor_074,normal_007,test_002
normal_057,normal_009,test_003
normal_044,normal_015,test_004
tumor_068,normal_018,test_005
tumor_081,normal_022,test_006
normal_097,normal_023,test_007
normal_076,normal_035,test_008
normal_059,normal_037,test_009
tumor_049,normal_039,test_010
tumor_045,normal_040,test_011
normal_070,normal_049,test_012
normal_088,normal_058,test_013
normal_047,normal_061,test_014
normal_024,normal_063,test_015
tumor_042,normal_064,test_016
tumor_047,normal_077,test_017
normal_005,normal_080,test_018
normal_042,normal_081,test_019
normal_159,normal_089,test_020
tumor_030,normal_090,test_021
normal_134,normal_092,test_022
tumor_102,normal_111,test_023
tumor_011,normal_114,test_024
tumor_002,normal_117,test_025
tumor_065,normal_123,test_026
normal_011,normal_133,test_027
normal_106,normal_136,test_028
normal_085,normal_138,test_029
normal_102,normal_139,test_030
tumor_031,normal_145,test_031
normal_025,normal_160,test_032
tumor_106,tumor_004,test_033
normal_038,tumor_012,test_034
normal_093,tumor_016,test_035
normal_030,tumor_018,test_036
tumor_098,tumor_027,test_037
tumor_108,tumor_036,test_038
tumor_009,tumor_039,test_039
tumor_057,tumor_040,test_040
tumor_017,tumor_043,test_041
normal_110,tumor_048,test_042
normal_048,tumor_053,test_043
tumor_086,tumor_064,test_044
tumor_003,tumor_066,test_045
normal_103,tumor_069,test_046
normal_031,tumor_073,test_047
normal_091,tumor_075,test_048
tumor_094,tumor_078,test_050
normal_119,tumor_085,test_051
tumor_084,tumor_095,test_052
tumor_005,tumor_097,test_053
normal_054,tumor_103,test_054
normal_095,tumor_109,test_055
tumor_104,,test_056
normal_149,,test_057
normal_144,,test_058
tumor_026,,test_059
normal_055,,test_060
tumor_090,,test_061
tumor_023,,test_062
normal_121,,test_063
normal_158,,test_064
tumor_082,,test_065
tumor_101,,test_066
normal_045,,test_067
tumor_105,,test_068
tumor_032,,test_069
tumor_035,,test_070
tumor_041,,test_071
normal_113,,test_072
normal_122,,test_073
normal_020,,test_074
normal_067,,test_075
normal_072,,test_076
tumor_021,,test_077
normal_075,,test_078
tumor_107,,test_079
normal_124,,test_080
normal_074,,test_081
tumor_100,,test_082
normal_152,,test_083
normal_060,,test_084
normal_079,,test_085
normal_087,,test_086
normal_014,,test_087
normal_112,,test_088
normal_105,,test_089
tumor_014,,test_090
normal_135,,test_091
normal_008,,test_092
tumor_037,,test_093
tumor_060,,test_094
tumor_038,,test_095
normal_115,,test_096
normal_065,,test_097
normal_104,,test_098
normal_131,,test_099
normal_116,,test_100
normal_151,,test_101
normal_132,,test_102
normal_029,,test_103
normal_137,,test_104
normal_003,,test_105
normal_021,,test_106
tumor_089,,test_107
normal_154,,test_108
normal_156,,test_109
tumor_001,,test_110
normal_043,,test_111
normal_101,,test_112
tumor_070,,test_113
normal_150,,test_114
tumor_006,,test_115
tumor_028,,test_116
tumor_091,,test_117
normal_016,,test_118
tumor_050,,test_119
tumor_058,,test_120
tumor_076,,test_121
normal_050,,test_122
tumor_052,,test_123
normal_012,,test_124
tumor_019,,test_125
tumor_061,,test_126
normal_069,,test_127
normal_128,,test_128
tumor_093,,test_129
normal_094,,test_130
normal_127,,
tumor_099,,
normal_130,,
tumor_088,,
tumor_007,,
tumor_111,,
tumor_072,,
normal_056,,
normal_051,,
tumor_024,,
tumor_063,,
tumor_096,,
normal_140,,
tumor_062,,
normal_143,,
normal_096,,
normal_098,,
normal_027,,
normal_125,,
tumor_080,,
tumor_083,,
normal_100,,
normal_107,,
normal_036,,
normal_041,,
tumor_071,,
normal_033,,
normal_129,,
tumor_077,,
tumor_087,,
normal_028,,
normal_034,,
normal_082,,
normal_155,,
tumor_008,,
tumor_022,,
normal_083,,
normal_120,,
normal_053,,
normal_153,,
tumor_013,,
normal_118,,
normal_019,,
normal_084,,
tumor_059,,
